PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Michael Harris,ATL,2,8,2,5,1,0,1,2,0,1,0,0,.625,.625,1.125,1.750
Jackson Chourio,MIL,3,11,3,5,0,0,2,3,1,1,1,0,.455,.500,1.000,1.500
Fernando Tatis,SD,7,26,8,11,3,0,4,7,3,2,0,0,.423,.500,1.000,1.500
Cedric Mullins,BAL,2,7,1,3,1,0,1,1,0,1,0,0,.429,.429,1.000,1.429
Bryce Harper,PHI,4,12,3,4,2,0,1,3,5,5,0,0,.333,.529,.750,1.279
Brice Turang,MIL,3,11,3,5,3,0,0,0,1,1,2,0,.455,.500,.727,1.227
Brayan Rocchio,CLE,7,23,2,10,2,0,1,2,2,6,0,0,.435,.480,.652,1.132
Sal Frelick,MIL,3,11,2,4,1,0,1,1,0,1,0,0,.364,.364,.727,1.091
Jorge Soler,ATL,2,7,1,2,0,0,1,1,1,2,0,0,.286,.375,.714,1.089
Max Muncy,LAD,8,26,6,7,1,0,3,5,6,7,1,0,.269,.424,.654,1.078
Kyle Higashioka,SD,7,19,3,5,1,0,3,5,1,3,0,0,.263,.273,.789,1.062
Nick Castellanos,PHI,4,17,2,7,1,0,1,3,0,3,0,0,.412,.412,.647,1.059
Giancarlo Stanton,NYY,6,23,3,7,2,0,2,5,3,2,1,0,.304,.385,.652,1.037
Mark Vientos,NYM,10,41,6,15,2,0,3,11,2,15,0,0,.366,.395,.634,1.029
Juan Soto,NYY,6,20,2,7,1,0,1,3,5,5,0,0,.350,.462,.550,1.012
Steven Kwan,CLE,7,29,7,13,1,0,0,1,3,3,1,0,.448,.500,.483,.983
Gleyber Torres,NYY,6,24,7,7,2,0,1,3,6,4,0,0,.292,.433,.500,.933
Pete Alonso,NYM,10,33,6,7,1,0,3,6,9,12,2,0,.212,.372,.515,.887
Lane Thomas,CLE,7,25,2,7,0,0,2,9,3,5,0,0,.280,.357,.520,.877
Jackson Merrill,SD,7,24,4,6,1,0,1,5,3,6,0,0,.250,.333,.500,.833
Parker Meadows,DET,7,26,3,7,2,0,1,1,3,6,3,1,.269,.345,.462,.807
Yordan Alvarez,HOU,2,7,0,2,1,0,0,0,1,1,0,0,.286,.375,.429,.804
Michael Massey,KC,6,23,1,7,1,0,0,1,2,6,0,0,.304,.360,.435,.795
